"","Fraud","Avg_amount_merch_1","Amount","Card_freq_7","Card_freq_14","Card_freq_3","Avg_amount_merch_30","Card_freq_1","Median_amount_merch_30","Avg_amount_merch_14","Merchant_freq_3","Card_freq_30","Avg_amount_merch_7","Merchant_freq_1","Total_amount_card_1","Merchant_freq_7","Median_amount_merch_14","Median_amount_card_30","Merchant_freq_14","Max_amount_card_1","Median_amount_merch_7"
"83768","No",0.231822150534299,0.642892831775313,-0.454958721628629,-0.52591037425299,-0.439132477399888,0.206083157718388,-0.362223788126516,-0.169147071931623,-0.0980489971479996,-0.427687170043236,-0.648082817782312,-0.0654230484917658,-0.40400002960596,0.996604915746291,-0.427778245540858,-0.20455473670846,-0.137096188405198,-0.423478523114706,0.643273987832778,-0.166039470250535
"83769","No",-0.161176080446167,-0.38367203826928,-0.454958721628629,-0.568917766311131,-0.439132477399888,-0.114722428185425,-0.362223788126516,-0.238880850996743,-0.0980489971479996,-0.427687170043236,-0.678483434726174,-0.0654230484917658,-0.40400002960596,0.996604915746291,-0.427778245540858,-0.20455473670846,-0.136253015468839,-0.423478523114706,0.643273987832778,-0.166039470250535
"83770","No",-0.116808812274595,-0.267778695006249,-0.454958721628629,-0.568917766311131,-0.439132477399888,-0.114722428185425,-0.362223788126516,-0.238880850996743,-0.0980489971479996,-0.427687170043236,-0.556880966950729,-0.0654230484917658,-0.40400002960596,0.996604915746291,-0.427778245540858,-0.20455473670846,-0.136253015468839,-0.423478523114706,0.643273987832778,-0.166039470250535
"83771","No",-0.147392379101918,-0.347667134267827,-0.454958721628629,-0.568917766311131,-0.439132477399888,-0.114722428185425,-0.362223788126516,-0.238880850996743,-0.0980489971479996,-0.427687170043236,-0.678483434726174,-0.0654230484917658,-0.40400002960596,0.996604915746291,-0.427778245540858,-0.20455473670846,-0.136253015468839,-0.423478523114706,0.643273987832778,-0.166039470250535
"83772","No",-0.110749962969348,-0.424305874305204,0.0525678266020177,-0.0528290616134431,-0.291239879906221,-0.706704775389979,-0.175362186574234,-0.395927284299144,-0.788179937323057,-0.409847618843854,-0.222474180568255,-0.706940413397682,-0.372530992847505,-1.09908156100393,-0.351140471851067,-0.37360710254215,-0.153293099423705,-0.366023839321171,-1.57482236039609,-0.338139455912701
"83773","No",-0.172647630384236,-0.413637288092425,-0.302700757159435,-0.439895590136709,-0.365186178653055,-0.114722428185425,-0.268792987350375,-0.238880850996743,-0.0980489971479996,-0.427687170043236,-0.526480350006867,-0.0654230484917658,-0.40400002960596,-0.925261918183911,-0.427778245540858,-0.20455473670846,-0.148289122002995,-0.423478523114706,-1.38841280763728,-0.166039470250535
"83774","No",-0.163823361201106,-0.390587095920775,-0.302700757159435,-0.310873413962287,-0.291239879906221,-0.140981005559037,-0.175362186574234,-0.246295715756294,-0.0980489971479996,-0.427687170043236,-0.283275414455978,-0.0654230484917658,-0.40400002960596,-1.29585963459155,-0.427778245540858,-0.20455473670846,-0.145170768122398,-0.423478523114706,-1.84012473302164,-0.166039470250535
"83775","No",-0.0522903851323685,-0.0992477817512381,-0.201195447513306,-0.267866021904146,-0.439132477399888,0.569544083131055,-0.362223788126516,0.0772756210688914,0.433671462483832,-0.427687170043236,-0.313676031399839,0.42713013321591,-0.40400002960596,0.996604915746291,-0.399039080407186,-0.0171477999827386,-0.123304450129577,-0.407809063898288,0.643273987832778,0.027944209841374
"83776","No",-0.173467371237313,-0.415778562775037,-0.404206066805565,-0.48290298219485,-0.439132477399888,-0.114722428185425,-0.362223788126516,-0.238880850996743,-0.0980489971479996,-0.392008067644473,-0.526480350006867,-0.0654230484917658,-0.34106195608905,0.996604915746291,-0.399039080407186,-0.20455473670846,-0.152707226878103,-0.402585910826148,0.643273987832778,-0.166039470250535
"83777","No",0.0387008495592474,0.138433708018721,-0.25194810233637,-0.396888198078568,-0.365186178653055,-0.114722428185425,-0.362223788126516,-0.238880850996743,-0.0980489971479996,-0.427687170043236,-0.404877882231423,-0.0654230484917658,-0.40400002960596,0.996604915746291,-0.418198523829634,-0.20455473670846,-0.115576427056856,-0.418255370042567,0.643273987832778,-0.166039470250535
"83778","No",-0.159182181371181,-0.378463702497162,-0.404206066805565,-0.48290298219485,-0.439132477399888,-0.114722428185425,-0.362223788126516,-0.238880850996743,-0.0980489971479996,-0.427687170043236,-0.435278499175284,-0.0654230484917658,-0.40400002960596,0.996604915746291,-0.427778245540858,-0.20455473670846,-0.148522305638915,-0.423478523114706,0.643273987832778,-0.166039470250535
"83779","No",0.103074616550931,0.306586749270918,-0.302700757159435,-0.310873413962287,-0.439132477399888,-0.114722428185425,-0.362223788126516,-0.238880850996743,-0.0980489971479996,-0.427687170043236,-0.496079733063006,-0.0654230484917658,-0.40400002960596,0.996604915746291,-0.427778245540858,-0.20455473670846,0.117477525891633,-0.423478523114706,0.643273987832778,-0.166039470250535
"83780","No",-0.152163753067331,-0.360130612493973,-0.404206066805565,-0.439895590136709,-0.439132477399888,-0.210372412218527,-0.362223788126516,-0.265890375761457,-0.209399105452228,-0.427687170043236,-0.58728158389459,-0.168570950994366,-0.40400002960596,0.996604915746291,-0.418198523829634,-0.233629093670941,-0.133392258410759,-0.418255370042567,0.643273987832778,-0.19613414475099
"83781","No",-0.168650188224228,-0.402590829876831,-0.3534534119825,-0.48290298219485,-0.291239879906221,-0.578197031857874,-0.175362186574234,-0.33601824302358,-0.535047959935313,-0.392008067644473,-0.58728158389459,-0.48591034178775,-0.372530992847505,-1.28948890629883,-0.303241863294948,-0.247485186511158,-0.148479513975731,-0.292899696311216,-1.84948106357382,-0.210909691227018
"83782","No",-0.0420677344939888,-0.0725448268857207,-0.3534534119825,-0.439895590136709,-0.439132477399888,0.29381525282401,-0.362223788126516,-0.123518483463838,-0.0980489971479996,-0.427687170043236,-0.283275414455978,-0.0654230484917658,-0.40400002960596,0.996604915746291,-0.427778245540858,-0.20455473670846,-0.127838794647673,-0.423478523114706,0.643273987832778,-0.166039470250535
"83783","No",0.00175223610802816,0.0419189006333311,-0.454958721628629,-0.568917766311131,-0.439132477399888,-0.114722428185425,-0.362223788126516,-0.238880850996743,-0.0980489971479996,-0.427687170043236,-0.678483434726174,-0.0654230484917658,-0.40400002960596,0.996604915746291,-0.427778245540858,-0.20455473670846,-0.136253015468839,-0.423478523114706,0.643273987832778,-0.166039470250535
"83784","No",-0.0794382733842921,-0.170161760945985,-0.302700757159435,-0.310873413962287,-0.291239879906221,-0.114722428185425,-0.175362186574234,-0.238880850996743,-0.0980489971479996,-0.427687170043236,-0.283275414455978,-0.0654230484917658,-0.40400002960596,-0.0708785779937575,-0.427778245540858,-0.20455473670846,-0.0855771942676897,-0.423478523114706,0.643273987832778,-0.166039470250535
"83785","No",-0.145519030152385,-0.342773691831386,-0.404206066805565,-0.52591037425299,-0.439132477399888,-0.159962017631438,-0.362223788126516,-0.219918885709761,-0.148485315779891,-0.427687170043236,-0.465679116119145,0.0445531567145574,-0.40400002960596,0.996604915746291,-0.40861880211841,-0.2323308688288,-0.132863696724489,-0.407809063898288,0.643273987832778,-0.166039470250535
"83786","No",-0.167942558987821,-0.379357999570488,-0.404206066805565,-0.52591037425299,-0.365186178653055,0.441437909579472,-0.268792987350375,-0.0818329793440496,0.549400288606253,-0.409847618843854,-0.648082817782312,0.53433421101529,-0.372530992847505,0.898294421132964,-0.418198523829634,-0.0355008225650471,-0.119417146011545,-0.418255370042567,0.643273987832778,0.00894711761241013
"83787","No",-0.113594142270563,-0.267778695006249,-0.0996901378671764,-0.224858629846006,-0.0694009836657205,-0.145302036950014,0.104930215754191,-0.238880850996743,-0.133647986340299,-0.338489414046329,-0.404877882231423,-0.0983997660030407,-0.246654845813685,-1.09516653634801,-0.379879636984739,-0.20455473670846,-0.140472044039536,-0.397362757754008,-0.177768038937641,-0.166039470250535
