"","Fraud","Fraud_times_30","Fraud_times_14","Fraud_times_7","Fraud_times_3","Fraud_times_1","Total_amount_card_7","Total_amount_card_14","Max_amount_card_30","Total_amount_card_3","Avg_amount_merch_3","Avg_amount_card_3","Max_amount_card_14","Avg_amount_card_30","Median_amount_card_3","Max_amount_card_3","Total_amount_card_30","Max_amount_card_7","Max_amount_merch_3","Total_amount_merch_7","Total_amount_merch_3"
"89277",0,0,0,0,0,0,1722.29,5889.74,1575,0,0,0,1575,268.1744,0,0,8581.58,1144,0,0,0
"89278",0,0,0,0,0,0,893,1742.73,782.95,0,0,0,639.73,279.4464,0,0,3073.91,443,0,0,0
"89279",0,0,0,0,0,0,942.52,1017.52,627,0,0,0,627,241.38,0,0,1448.28,627,0,4361.76,0
"89280",0,0,0,0,0,0,26389,27276.5,23515,0,0,0,23515,3854.036,0,0,38540.36,23515,0,837,0
"89281",0,0,0,0,0,0,1550,7944,2490,1550,0,1550,2490,1046.664,1550,1550,20933.27,1550,0,0,0
"89282",0,0,0,0,0,0,1825,1878.64,1825,0,0,0,1825,300.9429,0,0,2106.6,1825,0,91.5,0
"89283",0,0,0,0,0,0,436.58,436.58,1060,0,0,0,436.58,748.29,0,0,1496.58,436.58,0,1261,0
"89284",0,0,0,0,0,0,85.71,692.8,793.85,0,0,0,365.6,305.3,0,0,2747.7,42.82,0,517.17,0
"89285",0,0,0,0,0,0,0,425.6,526.55,0,0,0,389.21,227.39,0,0,1136.95,0,0,0,0
"89286",0,0,0,0,0,0,353,558.94,718.1,353,33.95,353,353,180.6633,353,353,1625.97,353,33.95,2850.21,33.95
"89287",0,0,0,0,0,0,1273.62,1607.12,1490,0,0,0,429,369.87,0,0,4438.44,429,0,130.76,0
"89288",0,0,0,0,0,0,2133,2133,2407,2133,0,2133,2133,2270,2133,2133,4540,2133,0,11.85,0
"89289",0,0,0,0,0,0,1722.29,5889.74,1575,0,0,0,1575,268.1744,0,0,8581.58,1144,0,0,0
"89290",0,0,0,0,0,0,0,0,454,0,0,0,0,454,0,0,454,0,0,0,0
"89291",0,0,0,0,0,0,884.61,2755.88,750.72,0,786.04,0,644.15,252.3944,0,0,4543.1,644.15,1131,46424.46,3144.16
"89292",0,0,0,0,0,0,0,0,1906,0,0,0,0,1906,0,0,1906,0,0,330,0
"89293",0,0,0,0,0,0,59.99,59.99,151.51,0,0,0,45,91.92375,0,0,735.39,45,0,45,0
"89294",0,0,0,0,0,0,129.05,129.05,433.96,129.05,0,129.05,129.05,206.6533,129.05,129.05,619.96,129.05,0,0,0
"89295",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89297",0,0,0,0,0,0,261,261,875,0,0,0,261,395.5833,0,0,1186.75,261,0,261,0
"89298",0,0,0,0,0,0,451.56,451.56,737.05,0,0,0,450,299.765,0,0,1798.59,450,0,0,0
"89299",0,0,0,0,0,0,149.1,419.1,850,0,0,0,270,179.5419,0,0,2872.67,136,0,0,0
"89300",0,0,0,0,0,0,789.4,789.4,789.4,0,0,0,789.4,288.1667,0,0,864.5,789.4,0,0,0
"89301",0,0,0,0,0,0,0,0,283.07,0,0,0,0,95.438,0,0,477.19,0,0,0,0
